event_id,measurement_id,particle_id,layer_id,surface_id,x,y,z,r,phi,sigma_phi,sigma_z,is_noise
3,33,,4,1004,-7.57125484973,-39.2769156121,15.9879761967,40,-1.76122656298,0.001,0.1,True
3,4,0,5,1005,49.8686078488,3.62242339076,19.3030329915,50,0.0725119956637,0.001,0.1,False
3,10,1,5,1005,-42.7258880406,25.9711087777,35.8600088678,50,2.59541804143,0.001,0.1,False
3,16,2,5,1005,-23.996467306,43.8653571379,33.4756657143,50,2.07137050248,0.001,0.1,False
3,22,3,5,1005,28.5484441432,41.0485850792,-6.56239522196,50,0.96311078927,0.001,0.1,False
3,28,4,5,1005,-49.8626350245,3.70373168809,22.6194607991,50,3.06745011013,0.001,0.1,False
3,34,,5,1005,-31.0130206211,39.2197979591,-59.3826624437,50,2.23987097747,0.001,0.1,True
3,5,0,6,1006,59.809887582,4.77256193576,23.0114217883,60,0.0796268169673,0.001,0.1,False
3,11,1,6,1006,-51.5456100882,30.7091204796,43.1336157218,60,2.60429222563,0.001,0.1,False
3,17,2,6,1006,-27.9897309795,53.0714137714,40.1491445926,60,2.05612094483,0.001,0.1,False
3,23,3,6,1006,34.6821415255,48.9606889168,-8.10061390283,60,0.954476900543,0.001,0.1,False
3,29,4,6,1006,-59.8727996587,3.90485096053,27.0552533539,60,3.07646577462,0.001,0.1,False
3,35,,6,1006,59.6400476036,-6.56237166244,-52.9556654278,60,-0.109592104041,0.001,0.1,True
4,0,0,1,1001,9.38432957924,3.45461406645,6.00013157042,10,0.352730418421,0.001,0.1,False
4,6,1,1,1001,-6.8830507313,7.25421343981,-1.34022377681,10,2.32994630946,0.001,0.1,False
4,12,2,1,1001,7.59347097244,6.50685781239,-5.78384988527,10,0.708487207253,0.001,0.1,False
4,18,3,1,1001,9.41992259241,-3.35634598231,7.66957125252,10,-0.342278826014,0.001,0.1,False
4,24,4,1,1001,-7.5890118485,6.51205798219,-2.87111958135,10,2.43242042404,0.001,0.1,False
4,30,,1,1001,-5.28543887838,8.48905977496,-14.8521962818,10,2.12768069354,0.001,0.1,True
4,1,0,2,1002,18.8210627111,6.76517541722,11.7177133425,20,0.345065982328,0.001,0.1,False
4,7,1,2,1002,-13.6899377918,14.5803156089,-2.55765699027,20,2.32470967906,0.001,0.1,False
4,13,2,2,1002,15.29084805,12.8914687259,-11.6190490114,20,0.700465218565,0.001,0.1,False
4,19,3,2,1002,18.927764263,-6.46063000063,15.6698543136,20,-0.328930974494,0.001,0.1,False
4,25,4,2,1002,-15.2421275949,12.949036504,-5.99527468386,20,2.43735658016,0.001,0.1,False
4,31,,2,1002,-17.6811746421,9.34751642287,-43.0166995161,20,2.65527254357,0.001,0.1,True
4,2,0,3,1003,28.2926987943,9.97613126089,17.8577899519,30,0.338993147843,0.001,0.1,False
4,8,1,3,1003,-20.3891318626,22.0064377374,-3.85081866664,30,2.31806498667,0.001,0.1,False
4,14,2,3,1003,23.0453960906,19.2070226487,-17.361149942,30,0.694802958037,0.001,0.1,False
4,20,3,3,1003,28.5103488457,-9.33595247949,23.4170389191,30,-0.316453805125,0.001,0.1,False
4,26,4,3,1003,-23.0274814256,19.2284970602,-8.94113602354,30,2.44585750243,0.001,0.1,False
4,32,,3,1003,-29.4057141574,-5.94171481069,-94.9243637011,30,-2.94221723537,0.001,0.1,True
4,3,0,4,1004,37.8284304053,13.0003789587,23.3415994091,40,0.331021745899,0.001,0.1,False
4,9,1,4,1004,-26.9974411497,29.5150499131,-5.2733400862,40,2.3116743291,0.001,0.1,False
4,15,2,4,1004,30.8575007683,25.4522031724,-23.3331945269,40,0.689699091999,0.001,0.1,False
4,21,3,4,1004,38.1512068786,-12.0202085549,31.1738737432,40,-0.305222306194,0.001,0.1,False
4,27,4,4,1004,-30.81850839,25.4994027502,-12.1461096526,40,2.45036299665,0.001,0.1,False
4,33,,4,1004,-33.1922330028,22.3220892455,22.5796841253,40,2.54955596992,0.001,0.1,True
4,4,0,5,1005,47.3858058227,15.9557327168,29.5904687775,50,0.324795151508,0.001,0.1,False
4,10,1,5,1005,-33.5666179943,37.0578217981,-6.57172579992,50,2.30680133101,0.001,0.1,False
4,16,2,5,1005,38.7517657591,31.595896103,-29.0607989079,50,0.684025348001,0.001,0.1,False
4,22,3,5,1005,47.8935596951,-14.3599073721,38.7984843312,50,-0.291300466951,0.001,0.1,False
4,28,4,5,1005,-38.77825064,31.5633850735,-14.703602529,50,2.45840597503,0.001,0.1,False
4,34,,5,1005,4.41625753097,-49.8045848233,98.5454401511,50,-1.48235592882,0.001,0.1,True
4,5,0,6,1006,56.990774355,18.7630391574,35.525243927,60,0.318052489492,0.001,0.1,False
4,11,1,6,1006,-39.9185916881,44.7940402022,-7.88302887368,60,2.29870511633,0.001,0.1,False
4,17,2,6,1006,46.7766292611,37.575882624,-34.9185452696,60,0.676752711708,0.001,0.1,False
4,23,3,6,1006,57.6739562293,-16.5443275131,46.4849543562,60,-0.2793582058,0.001,0.1,False
4,29,4,6,1006,-46.7145808122,37.652993766,-17.8539100778,60,2.46319035099,0.001,0.1,False
4,35,,6,1006,-55.6994114328,22.3064019071,88.0377214122,60,2.76067407407,0.001,0.1,True
